식당명,카테고리1,카테고리1 키워드,카테고리2,카테고리2 키워드,카테고리3,카테고리3 키워드,rank,혼밥,포장
라페름 한남,샐러드,"샐러드, 아보카도",채소 위주식,버섯,신선한 식사,"재료, 야채",25.0,★★★☆,★★★☆
편백집 용산 아이파크몰점,저탄고지,고기,건강 한식,반찬,신선한 식사,"재료, 야채, 채소",40.0,★★★★,★★★☆
소녀방앗간 용산아이파크몰점,건강 한식,"반찬, 비빔밥, 나물, 된장국, 밥상",저탄고지,고기,건강식,"건강, 정성",39.0,★★★★,★★★☆
루트에브리데이 한남점,샐러드,"샐러드, 연어, 포케, 아보카도",신선한 식사,"재료, 야채",건강한 간식,"샌드위치, 과일",33.0,★☆☆☆,★★★☆
채담화,건강 한식,"나물, 비빔밥, 반찬, 밥상",채소 위주식,버섯,건강식,"건강, 정성",14.0,★★★☆,★★★☆
아민 이화,채소 위주식,"두부, 비건",건강식,"건강, 슬로우, 영양",샐러드,"샐러드, 아보카도",18.0,★★★☆,★★★☆
그린보이즈 샐러드&포케 신촌직영점,샐러드,"샐러드, 포케, 드레싱, 연어, 그린",신선한 식사,"재료, 채소, 야채",건강한 간식,샌드위치,13.0,★★★★,★★★★
두부사랑,채소 위주식,두부,건강 한식,반찬,고단백,단백질,23.0,★★★☆,★★★☆
파머스포케 노량진점,샐러드,"포케, 샐러드, 연어, 아보카도",다이어트식,"다이어트, 식단, 운동, 다이어터, 피트니스",저탄고지,"키토, 고기",27.0,★★★☆,★★★★
새르 신사점,샐러드,"포케, 샐러드, 연어, 아보카도, 토핑",신선한 식사,"재료, 채소",고단백,"우삼겹, 오리, 스테이크",4.0,★★★★,★★★☆
제로밥상 강남점,다이어트식,"다이어트, 다이어터, 칼로리, 가볍다, 식단",혈당관리식,"저당, 당뇨, 혈당",건강 한식,"밥상, 반찬",35.0,★★★★,★★★★
오케이포케 압구정,샐러드,"포케, 샐러드, 아보카도, 참치",신선한 식사,"야채, 재료, 채소",건강식,건강,16.0,★☆☆☆,★★★☆
한입한쌈 강남논현점,다이어트식,"다이어터, 다이어트, 식단",건강식,건강,신선한 식사,재료,29.0,★★★☆,★★★★
피쉬버켓 약수점,건강식,건강,다이어트식,다이어트,샐러드,"포케, 연어",8.0,★★★☆,★★★☆
Poke all day 포케&샐러드 신사점,샐러드,"포케, 샐러드, 토핑",다이어트식,"가볍다, 다이어트, 식단",채소 위주식,"두부, 비건",6.0,★★★☆,★★★☆
서울신라호텔 팔선,건강 한식,보충,,,,,46.0,★★☆☆,★★★☆
Poke all day 포케&샐러드 서초사옥점,샐러드,"포케, 샐러드, 연어, 참치, 토핑",신선한 식사,"재료, 야채",다이어트식,"다이어트, 다이어터",11.0,★★★☆,★★★☆
